German,English
wie,as
ich,I
seine,his
dass,that
er,he
war,was
fr,for
auf,on
sind,are
mit,with
sie,they
sein,be
bei,at
ein,one
haben,have
dies,this
aus,from
durch,by
hei,hot
Wort,word
aber,but
was,what
einige,some
ist,is
es,it
Sie,you
oder,or
hatte,had
die,the
von,of
zu,to
und,and
ein,a
bei,in
wir,we
knnen,can
aus,out
andere,other
waren,were
die,which
tun,do
ihre,their
Zeit,time
wenn,if
werden,will
wie,how
sagte,said
ein,an
jeder,each
sagen,tell
tut,does
Satz,set
drei,three
wollen,want
Luft,air
gut,well
auch,also
spielen,play
klein,small
Ende,end
setzen,put
Zuhause,home
lesen,read
seits,hand
Hafen,port
gro,large
buchstabieren,spell
hinzufgen,add
auch,even
Lande,land
hier,here
muss,must
gro,big
hoch,high
so,such
folgen,follow
Akt,act
warum,why
fragen,ask
Mnner,men
Vernderung,change
ging,went
Licht,light
Art,kind
aus,off
mssen,need
Haus,house
Bild,picture
versuchen,try
uns,us
wieder,again
Tier,animal
Punkt,point
Mutter,mother
Welt,world
in der Nhe von,near
bauen,build
selbst,self
Erde,earth
Vater,father
jeder,any
neu,new
Arbeit,work
Teil,part
nehmen,take
erhalten,get
Ort,place
gemacht,made
leben,live
wo,where
nach,after
zurck,back
wenig,little
nur,only
Runde,round
Mann,man
Jahr,year
kam,came
zeigen,show
jeder,every
gut,good
mir,me
geben,give
unsere,our
unter,under
Name,name
sehr,very
durch,through
nur,just
Formular,form
Satz,sentence
gro,great
denken,think
sagen,say
Hilfe,help
niedrig,low
Linie,line
abweichen,differ
wiederum,turn
Ursache,cause
viel,much
bedeuten,mean
vor,before
Umzug,move
Recht,right
Junge,boy
alt,old
zu,too
gleich,same
sie,she
